split,inflation,group,cases,covered,total,coverage,coverage_ci95_low,coverage_ci95_high,mean_width_usd
confirmation,12.0,expanded,413,104057,106648,0.9757051233965944,0.9702571024859667,0.9805445658000688,812.8632556070733
confirmation,16.0,expanded,413,104160,106648,0.9766709174105468,0.9713924196937973,0.981336563630819,834.6868246377489
confirmation,2.0,expanded,413,102627,106648,0.9622965268922061,0.9529582567137707,0.9702274651568912,446.4427045159845
confirmation,2.5,expanded,413,102993,106648,0.9657283774660566,0.9573553621943371,0.9731894493279457,523.2415982274529
confirmation,24.0,expanded,413,104265,106648,0.9776554647063236,0.9725534728345341,0.982131026468592,856.8902075127196
confirmation,3.0,expanded,413,103226,106648,0.9679131347985898,0.9602303714383087,0.9747013424577289,580.1846403617952
confirmation,4.0,expanded,413,103481,106648,0.9703041782311904,0.9632798887670098,0.9765585508442068,655.1370545288728
confirmation,5.0,expanded,413,103624,106648,0.9716450378816293,0.9649346419717965,0.9776506027754126,701.743978132311
confirmation,6.0,expanded,413,103737,106648,0.9727045983047033,0.9663751376432688,0.9783698699337438,732.9691368176594
confirmation,8.0,expanded,413,103881,106648,0.9740548345960544,0.9681094548276327,0.9793615762303043,772.0513339599828
confirmation,deterministic,expanded,413,104884,106648,0.9834596054309505,0.9789684093064107,0.9874165025987152,943.8097845926522
confirmation,1.0,expanded_lower,228,57522,62514,0.92014588732124,0.9015748475624508,0.9365195923691446,174.38519143883082
confirmation,1.15,expanded_lower,228,58996,62514,0.9437246056883258,0.9295490910365,0.9563574903075248,200.53878581815513
confirmation,1.3,expanded_lower,228,59978,62514,0.9594330869885146,0.9485787206767361,0.9688875374328679,226.65779314519236
confirmation,1.5,expanded_lower,228,60410,62514,0.9663435390472535,0.9559400988288125,0.9750479955817848,260.23607337969077
confirmation,1.75,expanded_lower,228,60617,62514,0.9696547973253992,0.9597953389009369,0.9780692487316093,297.7112272357213
confirmation,10.0,expanded_lower,228,61316,62514,0.9808362926704418,0.9738622729335787,0.9865907216134577,590.3724819417147
confirmation,12.0,expanded_lower,228,61348,62514,0.9813481780081261,0.9747153712164695,0.9869181231251789,608.3784780757215
confirmation,16.0,expanded_lower,228,61394,62514,0.9820840131810474,0.9757628027163887,0.9873803609428244,633.2434936858593
confirmation,2.0,expanded_lower,228,60743,62514,0.9716703458425313,0.9617701078588333,0.9800197471171402,330.6778947770037
confirmation,2.5,expanded_lower,228,60922,62514,0.9745337044502032,0.9654009657303486,0.9822175746298656,384.2417249121548
